,units,param_type
1920,Hamilton Depression Score,Mean
1921,age in years at baseline,Mean
1922,m,Mean
1923,friends,Mean
1924,Not collected,Number
1925,(nmol/g creatinine),Mean
1926,"scores on a scale, ranging from ""0-100""",Mean
1927,fractures,Number
1928,mmHg/Liter,Mean
1929,percentage overall work impairment,Mean
1930,Dioptres,Mean
1931,HOMA-IR Score,Mean
1932,VCO2/VO2,Mean
1933,cigarettes per day,Median
1934,Kg/M^2,Mean
1935,previous episodes,Mean
1936,Previous Vaginal Births,Mean
1937,platelets*10^9/L,Median
1938,% of oxygen saturation,Median
1939,Per cent,Geometric Mean
1940,years post TBI,Mean
1941,standard deviation score,Mean
1942,urgency incontinence episodes/week,Mean
1943,blocks,Mean
1944,refluxes a day,Mean
1945,units on a scale;range 0-36;higher worse,Mean
1946,Percentile,Number
1947,Implants,Count of Units
1948,U/L,Mean
1949,PCOSQ Emotion Score,Mean
1950,cup,Median
1951,S. aureus,Number
1952,embryos,Mean
1953,binge eating days (out of 28),Mean
1954,units on a scale from 0 to 27,Mean
1955,Kilograms per meter square,Mean
1956,percentage of blood oxygen saturation,Mean
1957,frames,Mean
1958,ETDRS letters,Mean
1959,units on a 0-10 scale,Mean
1960,platelets x 10^-9/L,Median
1961,Number of Failed Treatments,Mean
1962,mm Hg,Median
1963,Percentage of responses,Mean
1964,percentage Occluded,Mean
1965,OTC medications,Mean
1966,Standardized T Scores,Mean
1967,words/minute,Mean
1968,g/liter,Median
1969,uU/ml,Least Squares Mean
1970,number of alcoholic drinks per day,Mean
1971,MF/ML,Median
1972,minutes of any guided imagery daily,Mean
1973,events,Number
1974,"kg/""m^2""",Mean
1975,Yrs,Mean
1976,Scores on a 0-21 scale,Mean
1977,degrees,Mean
1978,week,Mean
1979,Titer,Geometric Mean
1980,Score on scale,Median
1981,laps completed,Mean
1982,Milliliter (mL)/minute (min),Mean
1983,cc,Mean
1984,milli-international units/milliliter,Mean
1985,percent of time asleep,Mean
1986,T1 lesions,Mean
1987,HOMA Score,Mean
1988,Gy,Median
1989,mg/l,Mean
1990,percentage of total hemoglobin,Median
1991,Log10 copies/mL,Median
1992,%Gag-specific IFN-gamma+ CD4+ T-cells,Median
1993,percent predicted,Mean
1994,Units,Median
1995,hour,Mean
1996,proportion,Mean
1997,Ratio of mRNA copy numbers (TNF-α/5HKGs),Mean
1998,nanomoles per liter (nmol/L),Mean
1999,number correct words,Median
2000,score on a scale 0-2 good >=5 high risk,Median
2001,IU/dl,Mean
2002,mm VAS,Mean
2003,ml/min/mmhg,Mean
2004,hours per week spent working,Median
2005,number of behaviors,Mean
2006,U/ml,Mean
2007,number of heart beats per minute,Mean
2008,Naira,Mean
2009,kg/(m^2),Mean
2010,pg/ml,Median
2011,Number of deliveries,Mean
2012,nM BCE,Mean
2013,Log IU/mL,Mean
2014,kg per square metre,Mean
2015,milligram per deciliter,Mean
2016,Percentage of all showing-up patients,Number
2017,°F,Median
2018,count,Mean
2019,nM/mg protein,Median
2020,cells per mm^3,Mean
2021,percentage of aberrant IELs,Mean
2022,mg/(dL/hr) (normalized),Mean
2023,ug/dL,Mean
2024,ACQ Score,Mean
2025,Units on a scale.,Mean
2026,Cases,Number
2027,Celsius degree,Mean
2028,Ethiopian birr,Mean
2029,slope of regression line,Mean
2030,Kilograms/meters^2,Mean
2031,Count (10^6 cells/kg),Median
2032,Kg/m^2,Median
2033,average weekly minutes,Median
2034,microgram/mL,Mean
2035,picograms/milliliter*minute (pg/mL*min),Mean
2036,Percent of predicted normal value of PEF,Mean
2037,Colonoscopies,Mean
2038,Liters (L),Mean
2039,percentage of RV area,Mean
2040,Servings per day,Mean
2041,steps per day,Mean
2042,percent/year,Mean
2043,SBCSGI (10^-9min^-1),Mean
2044,% total time,Mean
2045,10^6 cells/L,Median
2046,Ratio (x 100),Mean
2047,cells/uL,Geometric Mean
2048,ml/min per 1.73m2,Mean
2049,Percentage point of total HbA1c,Mean
2050,lesions,Median
2051,centimetres,Mean
2052,ng/mg,Mean
2053,log 10 Copies/mL,Mean
2054,number of subjects requiring extra O2,Number
2055,percent of surface without plaque,Mean
2056,Grams,Mean
2057,Cigarettes per Day,Mean
2058,Years,Geometric Mean
2059,Cluster Headache Attacks per week,Mean
2060,mm H2O,Mean
2061,ppm,Mean
2062,Units on a scale between 1 and 5,Mean
2063,mm,Median
2064,parts per billion (p/b),Median
2065,millimeter of mercury (mm Hg),Mean
2066,Injections,Median
2067,log₁₀ virus particles/mL,Mean
2068,PIM DDD,Mean
2069,Sites,Mean
2070,csDMARDs,Mean
2071,counts,Mean
2072,% suppression of EGP,Mean
2073,number of apneas and hypopneas /hour,Mean
2074,ft/s,Mean
2075,counts / uL,Mean
2076,micrograms per deciliter (µg/dL),Mean
2077,BMI z score units,Mean
2078,% of glycosylated hemoglobin,Mean
2079,Total Learning Score,Mean
2080,Heavy drinking days,Mean
2081,Pascal,Mean
2082,nM,Mean
2083,half months,Mean
2084,percent asymmetry,Mean
2085,L per minute,Mean
2086,cells/mm3,Mean
2087,Seconds,Median
2088,BMI = kg/meter^2,Mean
2089,units on a scale -- kg/m^2,Mean
2090,percentage of FEV1 % predicted,Mean
2091,mcg (micrograms),Mean
2092,uiU/mL,Mean
2093,kilograms/m^2,Mean
2094,units/28 days,Median
2095,Prior treatments,Median
2096,Cm2,Mean
2097,percentage of participants seropositive,Number
2098,Agents,Median
2099,lesions,Number
2100,CDAI score,Mean
2101,kilograms (kg),Geometric Mean
2102,Standard Deviation Score (SDS),Mean
2103,kilogram per square metre (kg/m2),Mean
2104,kilogram/meter squared,Mean
2105,number of joints smoked per day,Mean
2106,cells/mcL,Median
2107,um,Mean
2108,co-morbid conditions present,Mean
2109,Beck Depression Score,Mean
2110,WBC x 10^9/L,Mean
2111,volume percentage of red blood cells,Median
2112,Million CFU/gr of sputum,Mean
2113,log10 pg/mL,Median
2114,mcg/dL,Median
2115,10^9/L,Mean
2116,Standardized Uptake Value- SUV,Median
2117,cells*10^9/L,Mean
2118,lines of therapy,Median
2119,mM (millimolar) in blood cells,Mean
2120,units of a scale,Mean
2121,participants in follow up study,Number
2122,KPS Score,Mean
2123,stools per week,Mean
2124,Months on hemodialysis,Mean
2125,mg/sqm,Mean
2126,percent body surface area,Mean
2127,mL/sec,Mean
2128,copies/million CD4+ T-cells,Median
2129,number of Endocrinology in-person visits,Mean
2130,feet per second,Median
2131,vaginal deliveries past 28 weeks,Median
2132,Measured in kUA/L,Median
2133,score,Median
2134,gestational age in weeks,Mean
2135,(ng/ml),Mean
2136,# problems,Mean
2137,number of in-person PCP visits,Mean
2138,daytime incontinence episodes,Mean
2139,Chonic conditions,Mean
2140,Percentage of FVIII activity,Mean
2141,kUA/L,Mean
2142,Unit/mL,Number
2143,cell/mm^3,Median
2144,Newtons (N),Mean
2145,Percent risk of ASCVD,Median
2146,percentage of glycated hemoglobin A1c,Mean
2147,T-score,Median
2148,%CD69+ CD8+ T-cells,Median
2149,minute,Mean
2150,nocturia episodes,Mean
2151,Percentage of perdicted IC,Mean
2152,z score,Mean
2153,Ratio,Median
2154,kg/[m]^2,Mean
2155,No dimension,Mean
2156,% of Participants,Number
2157,percent of central pulse pressure,Mean
2158,primary caregiver of participant,Number
2159,logIU/mL,Median
2160,ng/dL,Mean
2161,Weight in (kg),Mean
2162,infections,Median
2163,number of cylindres,Median
2164,mEq/day,Mean
2165,Kcal/min,Mean
2166,units per kilogram (U/kg),Mean
2167,hours slept per night,Mean
2168,μU/ml,Median
2169,(mg/L),Mean
2170,N/mm,Mean
2171,Letters read on ETDRS chart,Mean
2172,mIU.hr/L,Mean
2173,live births,Mean
2174,microunits/milliters (uU/ml),Mean
2175,percent of risk for cardiac surgery,Mean
2176,Newton-meters (Nm),Mean
2177,calculated score,Mean
2178,µg/day (microgram/day),Mean
2179,Celsius degrees,Mean
2180,urinary incontinence episodes per day,Mean
2181,percentage of oxyhemoglobin,Median
2182,x 10^3 cells/mm^3,Mean
2183,uU/ml,Median
2184,ml urine output/ 40mg IV furosemide,Mean
2185,times per day,Mean
2186,mg·l^2/mmol·mU·min,Mean
2187,kilograms/meters-squared,Mean
2188,Units of a scale,Mean
2189,millgrams per deciliter (mg/dL),Mean
2190,Particiopants,Number
2191,acres,Mean
2192,number of symptoms,Mean
2193,% of body surface area affected,Mean
2194,proportion of errors,Mean
2195,ml of blood,Mean
2196,ASA STATUS,Number
2197,Concussions,Mean
2198,[g/dl],Mean
2199,mg/dL x mIU/L / 405,Mean
2200,% of total participants,Number
2201,Falls per avg. resident and per year,Median
2202,g/L,Mean
2203,Percentage of Participants,Number
2204,per cubic mm,Mean
2205,µg/min,Mean
2206,responses per min,Mean
2207,Calculated score,Mean
2208,average number of adults in home,Mean
2209,years,Geometric Mean
2210,units on a scale (1-7),Mean
2211,cells/million events,Mean
2212,(dB),Mean
2213,Log10 copies/ml,Mean
2214,Number of 20 meter laps completed,Mean
2215,Words Per Minute (WPM),Mean
2216,Percentage of Myocardial Perfusion,Mean
2217,pounds (lbs),Mean
2218,Scoring 17 to 68 low to high,Mean
2219,cm3,Mean
2220,Scores on scale,Mean
2221,Percent of surfaces with bleeding,Mean
2222,% risk of mortality,Mean
2223,VO2 mL/kg/min,Mean
2224,number of drinks,Mean
2225,Lesions,Count of Units
2226,meter,Mean
2227,days of observation,Mean
2228,percent risk of event,Mean
2229,grams/square centimeter,Mean
2230,mL/min per 1.73m2,Mean
2231,Cubic Centimeter (cc),Median
2232,percentage of predicted meters,Mean
2233,Hospitalizations in the last 6 months,Mean
2234,grams/day,Mean
2235,lesions,Count of Units
2236,cups,Mean
2237,% (percentage probability),Mean
2238,Kgm^2,Median
2239,percentage glycated hemoglobin,Mean
2240,Percent of patients,Number
2241,kg/m²,Median
2242,body mass index,Mean
2243,percentage of bone marrow cellularity,Median
2244,Kilo Unit per Liter (kU/L),Median
2245,miles,Mean
2246,copies per 10^6 PBMC,Median
2247,percent of sites,Mean
2248,units/mL,Mean
2249,mmhg,Mean
2250,percentage of glycated hemoglobin,Mean
2251,Millions/ml,Geometric Mean
2252,Gy-cm2,Median
2253,percents,Mean
2254,Number of Completions,Median
2255,episodes,Mean
2256,Percentage of Ejection Fraction,Median
2257,kg/^m2,Mean
2258,kg,Mean
2259,percent of hemoglobin glycosylated,Mean
2260,ug/dl,Median
2261,letters,Mean
2262,Prior Therapies,Median
2263,wt kg/ht m squared,Mean
2264,Percent of time pH<4 per 24-hours period,Mean
2265,lifetime uses,Mean
2266,percentage of sleep,Mean
2267,fraction of phosphorus reabsorbed,Mean
2268,percent-predicted,Mean
2269,EPC/10^6 cells,Median
2270,percent glycosylated hemoglobin,Mean
2271,% days of heavy drinking,Mean
2272,joints,Median
2273,ratio,Mean
2274,Composite Influenza Symptom Score,Mean
2275,Count of participants,Number
2276,Number of other therapies,Median
2277,mmmol/L,Mean
2278,Dry Days,Mean
2279,ng/dl,Mean
2280,kilograms/square centimeters,Mean
2281,Count of Esophageal Dilations,Mean
2282,Comorbidity,Median
2283,meter (m),Mean
2284,participants with data available,Number
2285,right or left second molar,Number
2286,percentage increase from baseline FEV1,Mean
2287,mms,Median
2288,kgs,Mean
2289,millimeter of Mercury (mmHg),Mean
2290,pounds (lbs),Median
2291,platelets per ul,Median
2292,percentage of successful intercourse,Mean
2293,standardized units on a scale,Mean
2294,Percentage of Oxygen Saturation,Mean
2295,ml/kg/min,Mean
2296,months,Mean
2297,kilograms/meters square,Mean
2298,agents per patient,Mean
2299,kilogram/square meter (kg/m²),Mean
2300,mg/min per μIU/ml,Median
2301,Scoring 0 to 100 low to high scale,Mean
2302,pmol/l,Mean
2303,milli-international units per milliliter,Mean
2304,unitless,Mean
2305,ppb (parts per billion),Mean
2306,Limbs,Number
2307,Minutes Mod/Vig Activity/Day,Mean
2308,SD,Mean
2309,vessels,Mean
2310,Millimoles per liter (mmol/L),Median
2311,attacks per day,Mean
2312,Percent of glycated hemoglobin,Mean
2313,Frequency of Behavior,Mean
2314,weeks (postnatal age),Mean
2315,cells/min,Mean
2316,hr/wk,Median
2317,Nm/kg,Mean
2318,centimeter (cm),Mean
2319,Percentage of probed sites with BOP,Mean
2320,Percentage points of HbA1c,Mean
2321,Litres,Median
2322,kilogram / square meter,Mean
2323,U/day,Mean
2324,# of participants,Number
2325,HOMA-IR index is unitless by definition,Mean
2326,number of Anti-epileptic drugs (AEDs),Mean
2327,nM,Median
2328,number of migraines,Mean
2329,hours lost per week,Mean
2330,Percentage,Mean
2331,kilograms per squared meters,Mean
2332,par/µL blood,Mean
2333,stools/week,Median
2334,logarithm of seconds of arc (log arcsec),Mean
2335,Line of Prior Therapy,Mean
2336,parts per billion (ppb),Mean
2337,relative abundance,Median
2338,Millimeter of mercury (mmHg),Mean
2339,Percent of Blasts,Median
2340,US Dollars,Median
2341,bleeding episodes per week,Median
2342,percentage of left ventricular ejection,Mean
2343,events,Mean
2344,percentile,Median
2345,lipase units/kg/day,Mean
2346,Procedures,Number
2347,staples,Number
2348,copies/mL,Number
2349,symptom score,Median
2350,day-counts,Mean
2351,Tender joint count,Mean
2352,dn*s*cm^-5,Mean
2353,ABI ratio (mmHg/mmHg),Mean
2354,units,Geometric Mean
2355,Drinks per Binge Episode,Mean
2356,kilogram per meter square [kg/m²],Mean
2357,femtoliters,Mean
2358,Lesions,Number
2359,% of total questionnaire points,Mean
2360,puffs/day,Mean
2361,milliliter per beat (mL/beat),Mean
2362,index score,Mean
2363,embryo,Mean
2364,Z-score,Median
2365,Average Bleeding Score,Mean
2366,z-Score,Mean
2367,Inhalations per day,Mean
2368,Letter Score,Median
2369,spontaneous bowel movements / week,Mean
2370,pregnancies,Median
2371,% African Ancestry (within individuals),Mean
2372,Number of cigarettes smoked,Mean
2373,concurrent baseline medications,Mean
2374,units,Median
2375,Number of medications,Mean
2376,Number of deliveries,Median
2377,days in a week,Mean
2378,Number of Days,Mean
2379,equivalent shot/can/glasses,Mean
2380,eosinophils per high power field,Mean
2381,mmol/L,Mean
2382,Percent overweight based on BMI charts,Mean
2383,K/uL,Median
2384,% of difference compare to young control,Mean
2385,years until enrollment,Mean
2386,Total body surface area percentage,Mean
2387,kg per square meter,Mean
2388,(mmol/L),Median
2389,kg per metre squared,Mean
2390,mean fluorescence intensity (MFI),Mean
2391,kilograms per sqare meter,Median
2392,MME,Median
2393,vaginal sex acts/60 days,Mean
2394,Number correct,Mean
2395,kilograms divided by meters squared,Mean
2396,Units (U)/kg,Mean
2397,s,Mean
2398,days of life,Mean
2399,Crowns,Count of Units
2400,ng/dL,Median
2401,percent correct,Mean
2402,Percentage predicted FEV1,Mean
2403,Measurements/week,Mean
2404,arm lifts,Mean
2405,number of classes of antihypertensives,Mean
2406,liters/minute,Median
2407,Milligrams per Deciliter (mg/dL),Mean
2408,migraines per month,Mean
2409,admissions,Number
2410,months,Number
2411,cm^2,Median
2412,Percent of LV end diastolic volume,Mean
2413,Prism Diopters,Median
2414,Participants engaged in treatment,Number
2415,percentage of sites,Mean
2416,mMol/L,Mean
2417,units on a scale 0 to 99 higher worse,Mean
2418,mL/min/kg,Mean
2419,Parts per million; higher worse,Mean
2420,mg ferritin/gram dry weight liver,Median
2421,Kg/m2,Median
2422,DDD per average resident and per day,Median
2423,Weeks,Geometric Mean
2424,mg/L,Number
2425,kg/meter-squared,Mean
2426,participants reporting the reason,Number
2427,log10(copies)/mL,Mean
2428,Newton-meters,Mean
2429,number of cells per cubic mm,Mean
2430,hours of life,Median
2431,PCOSQ Body hair Score,Mean
2432,mg/kg,Mean
2433,log 10 IU/mL,Median
2434,pariticpants,Number
2435,pH minutes,Mean
2436,Kilogram per square meter (Kg/m^2),Mean
2437,grams per day (g/day),Mean
2438,PCOSQ Weight Score,Mean
2439,units/day,Mean
2440,copies/mL,Median
2441,number of turns,Mean
2442,mL; mm^3,Mean
2443,Copies/mL,Median
2444,ng/ml^2,Median
2445,score,Mean
2446,ratio %,Mean
2447,percent of effacement,Mean
2448,percentage of activity,Mean
2449,Number of Comorbidities,Mean
2450,10 x 10^9 cells/L,Median
2451,mg/wk,Mean
2452,nighttime micturitions,Mean
2453,kilograms/meter^2 (kg/m^2),Mean
2454,dB S/N,Mean
2455,vaccine injections,Median
2456,cubic millimetre (mm^3),Mean
2457,percentage of hemoglobin,Mean
2458,cm,Mean
2459,kilogram per square metre,Mean
2460,nanometers per second,Mean
2461,laser procedures,Mean
2462,percent of participants privt insurance,Number
2463,meetings,Mean
2464,Percentage of leucocytes in blood,Mean
2465,pmol/L/min,Mean
2466,kilograms/square meters (kg/m^2),Mean
2467,numbers,Number
2468,metres,Mean
2469,mm H20,Median
2470,nodules,Mean
2471,CGI-I Score,Mean
2472,Signs and symptoms,Median
2473,standard alcohol drink,Mean
2474,% of dietary fat absorbed,Mean
2475,missions,Mean
2476,Percent risk of developing breast cancer,Mean
2477,Kilograms,Mean
2478,kg/mˆ2,Mean
2479,cells/cm^2,Median
2480,c/mL,Number
2481,Karnofsky Performance Scale,Mean
2482,likert scale,Mean
2483,Degrees centigrade,Mean
2484,caffeinated beverages/week,Mean
2485,units on a Likert scale,Mean
2486,mU/L*mmol/L,Mean
2487,micturitions,Mean
2488,Number of procedures,Mean
2489,Failed Medications,Mean
2490,Milliliter (mL),Mean
2491,percentage of ventricular blood pumped,Mean
2492,Acne lesions,Mean
2493,Percentage of total monitoring time,Mean
2494,nanograms/ ml,Mean
2495,sec,Mean
2496,percentage of bone marrow,Mean
2497,visits per month,Median
2498,U/ml,Number
2499,cell/ml,Mean
2500,microinternational units per milliliter,Mean
2501,umol TE/L,Mean
2502,% of blood leaving heart at contraction,Mean
2503,Newton meters (Nm)/kg,Mean
2504,percentage of liters predicted,Mean
2505,percentage of participants,Mean
2506,% activity,Mean
2507,% days with 100% taking adherence,Number
2508,number of lifetime antidepressant trials,Mean
2509,mg/mL,Mean
2510,average number of stools per day,Mean
2511,liters,Least Squares Mean
2512,exacerbations,Mean
2513,mL,Median
2514,mcg/g,Median
2515,milligrams per week (mg/week),Mean
2516,percentage of intramyocellular lipid,Median
2517,Cm^2,Median
2518,mutations,Median
2519,pg*hr/ml,Mean
2520,cans of smokeless tobacco,Mean
2521,migraine days/month,Mean
2522,Active minutes/week,Median
2523,Standardized BMI Z-score,Mean
2524,logMAR,Median
2525,Percent of glycosylated hemoglobin (A1C),Mean
2526,milligrams per deciliter,Mean
2527,pressure ulcers,Number
2528,units on scale WOMAC,Mean
2529,units on a scale (0-10),Mean
2530,uIU/mL,Mean
2531,percentage of total fatty acids,Mean
2532,umol/L,Mean
2533,Non-Infammatory acne lesions,Mean
2534,10^9 per Liter,Mean
2535,percentage increase in FEV1,Mean
2536,kilogram per meter square,Mean
2537,Beats Per Minute (BPM),Mean
2538,percentage of glycated haemoglobin,Mean
2539,SBMs per week,Mean
2540,LDI flux units,Mean
2541,x10E ^09/L,Mean
2542,units of lipase,Mean
2543,Prior hospitalization for mood episode,Mean
2544,Decibels,Mean
2545,ml/day,Mean
2546,units=participants,Number
2547,lbs/sq.In.,Mean
2548,kilogram / square meter (kg/m^2),Mean
2549,Units in Beck Depression Inventory,Mean
2550,percent coated platelets,Mean
2551,kg per m2,Mean
2552,Days,Mean
2553,Total Correct,Mean
2554,probability of poor outcome,Mean
2555,logMAR,Geometric Mean
2556,Kilograms Per Meter Squared,Mean
2557,Participants:Participants,Number
2558,grams/square centimeter (g/cm^2),Mean
2559,percentage of burned surface area,Mean
2560,Percentage of blood,Median
2561,Pregnancies,Median
2562,kilogram/meter²,Mean
2563,units per day,Mean
2564,nanomole/L,Mean
2565,Beats per Minute,Mean
2566,HbA1c [%],Mean
2567,mL/min/1.73 squared meters,Mean
2568,MET-minutes/week,Mean
2569,Percentage of Body Surface Area,Mean
2570,Cells x 10^9/L,Median
2571,cells/mm^2,Mean
2572,years,Median
2573,seizures,Mean
2574,Number of actinic keratoses (AKs),Number
2575,Units per kilogram (U/kg),Mean
2576,log10(ng/mL),Median
2577,Degrees Celsius,Median
2578,% of body surface area,Median
2579,mm Hg / percent inspired oxygen,Mean
2580,Contractions/min,Mean
2581,BMI percentile,Mean
2582,Pack Years,Mean
2583,Participant,Number
2584,letters read correctly,Mean
2585,Mean,Mean
2586,MDD episodes,Mean
2587,points on a scale,Mean
2588,IU/L,Median
2589,%,Mean
2590,Swollen Joints,Mean
2591,L,Mean
2592,nanograms per millilter,Median
2593,Number of failed medications,Median
2594,cm²,Mean
2595,percent days heavy drinking,Mean
2596,kilograms,Mean
2597,panss score,Mean
2598,MAAS Score,Mean
2599,kilograms/square meters,Mean
2600,Patients per year,Mean
2601,kCal/kg/d,Mean
2602,milligrams per Liter,Median
2603,Kilograms (kg),Mean
2604,mL/kg/min,Median
2605,percentage of plasma cells,Mean
2606,Score on PDQ-39 Questionnaire,Mean
2607,total raw score points for 5 domains,Mean
2608,% of total hemoglobin,Mean
2609,milliliter/kilogram/minute,Mean
2610,number of stands,Mean
2611,Parity,Median
2612,gms,Mean
2613,drinks/day,Mean
2614,nanomole/L (nmol/L),Mean
2615,ug/ml,Median
2616,Kg/m²,Mean
2617,d-prime,Mean
2618,pg/mg,Mean
2619,Admissions,Number
2620,kG,Mean
2621,Platelets/mm^3,Mean
2622,(mg/dL),Mean
2623,seconds,Mean
2624,cm H2O,Median
2625,breaths per minute (bpm),Mean
2626,cubic centimeter,Mean
2627,kg.m-2,Median
2628,DAYS,Mean
2629,g/m^2,Mean
2630,percentage of Hemoglobin A1c (HbA1c),Mean
2631,MET-min/wk,Mean
2632,μl/min/ml,Mean
2633,number of days worked/week,Mean
2634,BPM (beats per minute),Mean
2635,μu/ml,Mean
2636,Percentage of ULN(Upper limit of number),Median
2637,cell/mm3,Mean
2638,treatment course,Number
2639,METS/week,Mean
2640,nanogram / milliliter,Median
2641,uU/mL divided by mg/dL,Median
2642,ml/min/1.73m^2,Median
2643,μmol/L,Median
2644,percentaje of glycated hemoglobin,Mean
2645,% pred.,Median
2646,Number of lesions,Number
2647,kilograms per square meters (kg/m^2),Mean
2648,units on a scale (NIHSS range 0 - 42),Median
2649,units on pH scale,Mean
2650,Indoor tanning sessions,Mean
2651,hair strands/cm^2,Mean
2652,Antihypertensive Medications,Mean
2653,seizures/month,Mean
2654,prior deliveries,Median
2655,Score of insulinogenic Index,Mean
2656,Prior regimens,Mean
2657,Seconds,Mean
2658,incontinence episodes/week,Mean
2659,log10 CFU/mL,Mean
2660,Units in Greene Climacteric Scale,Mean
2661,mL/min/1.73 m2,Mean
2662,spindles per minute,Mean
2663,milligrams/liter (mg/L),Mean
2664,mL/min/1.73 square meter,Mean
2665,Micrograms per liter (ug/L),Mean
2666,M,Mean
2667,micrograms,Median
2668,episodes,Median
2669,Number of Stools,Mean
2670,cells per microliter,Mean
2671,number of seizures,Mean
2672,people,Number
2673,cells/µL,Mean
2674,ETDRS Score,Mean
2675,kilograms per meters squared,Mean
2676,Millimeter (mm),Mean
2677,percentage of body fat,Mean
2678,log10 copies/ml,Mean
2679,g/24hr,Mean
2680,K/ul,Median
2681,cytotoxic regimen,Median
2682,IU/dL,Median
2683,Number of Prior Interventions,Mean
2684,Blinks/min,Mean
2685,mg*min/ml,Mean
2686,beats per min,Mean
2687,Square of centimeter,Median
2688,60.7 (SD 11.4) years,Mean
2689,mg･hr/dL,Mean
2690,L/min/% oxygen saturation,Mean
2691,mid-to-posterior height ratio,Mean
2692,Participants not testing NAb positive,Number
2693,kilopascal (kPa),Mean
2694,kilogram/ meter^2 (kg / m^2),Mean
2695,cm/year,Mean
2696,Milligram per deciliter,Mean
2697,FEV1/FVC percent,Mean
2698,Square centimeter (cm^2),Mean
2699,standardized score,Mean
2700,MET-minutes per week,Mean
2701,quit attempts,Mean
2702,Percent Protein C Activity,Mean
2703,Snellen decimal,Mean
2704,kg/m2,Mean
2705,g%,Mean
2706,milligrams/deciliter,Mean
2707,number of blocks,Mean
2708,log10 copies per mL,Median
2709,number of words,Mean
2710,Units on a scale,Number
2711,10E3 cells/uL,Median
2712,area under curve,Mean
2713,meQ/L,Mean
2714,HAM-D-17 Score,Mean
2715,percent of oxygen saturation,Mean
2716,Cigarettes Per Day,Mean
2717,mm/hour,Mean
2718,HbA1C percentage (%),Mean
2719,units/week,Mean
2720,total raw scores by group,Mean
2721,number of corneal filaments,Mean
2722,Health Problems,Mean
2723,Totals years smoking cigarettes,Mean
2724,community,Number
2725,ln(mmol/L),Mean
2726,HOMA IR Score,Median
2727,PCOSQ Infertility Score,Mean
2728,copies/mL,Geometric Mean
2729,kg/m^2,Mean
2730,millimole per Liter (mmol/L),Mean
2731,spoken syllables per second,Mean
2732,Log10 IU/ml,Mean
2733,cm squared,Mean
2734,prior regimens,Median
2735,percent predicted based on age and heigh,Mean
2736,percentage of intrahepatic lipid,Median
2737,Eggs per gram (EPG),Median
2738,MET-hr/wk,Mean
2739,percent of gycated hemoglobin,Mean
2740,doses,Mean
2741,Suicide attempts,Mean
2742,Number of prior lines of treatment,Median
2743,Percentage of inspired oxygen,Median
2744,units on a scale;range 0-9;higher worse,Mean
2745,nmol/mmol,Mean
2746,pRBC units/28 days,Mean
2747,score on a scale,Median
2748,%PD1+ CD4+ T-cells,Median
2749,log(pg/ml),Mean
2750,μU/ml,Mean
2751,Standardized scores on a scale,Mean
2752,percent of BSA,Mean
2753,milligrams,Mean
2754,log arcsec,Mean
2755,hot flashes per week,Mean
2756,drinks/binge drinking day,Mean
2757,Percent predicted,Mean
2758,picogram per millilitre,Mean
2759,Cigarettes smoked /day,Mean
2760,Percentage units,Mean
2761,g/l,Median
2762,number of caffeinated drinks per day,Mean
2763,year,Mean
2764,minutes walked,Mean
2765,ug/dL,Median
2766,percentage change,Mean
2767,Newton meters,Mean
2768,paricipants,Number
2769,Cans/week,Mean
2770,litres,Mean
2771,mPa.s,Median
2772,Hz,Mean
2773,mEq*24hr/L,Mean
2774,mCg/gm,Mean
2775,p.p.m.,Median
2776,ug/day,Mean
2777,units on scale,Mean
2778,AU*min,Median
2779,microgram(mcg)GAG/mg creatinine,Mean
2780,Steps per day,Median
2781,Incontinence Episodes per Week,Mean
2782,liters/minute/meters squared,Mean
2783,kilogram per meter square (kg/m^2),Mean
2784,Units on a scale -50 to +50,Mean
2785,Proportion of abstinent days,Mean
2786,Solid organs transplanted,Mean
2787,Participants,Count of Participants
2788,percent of days,Mean
2789,visits,Mean
2790,log10(copies/ml),Mean
2791,Years of Age,Median
2792,C7 Expression (percent of normal skin),Mean
2793,BPM,Mean
2794,cubic centimeters (cm3),Median
2795,relative gene expression units,Mean
2796,regimens,Median
2797,Puff,Mean
2798,MG/l,Mean
2799,ng/mL,Median
2800,Arbitrary Units,Median
2801,kilograms per meter squared (kg/m²),Mean
2802,therapy lines,Median
2803,median of comorbidities of participants,Median
2804,platelets x 10^3 / mL,Median
2805,MCF shift from NC,Mean
2806,feet,Mean
2807,micro international units(μIU)/ml,Mean
2808,millimeters per hour (mm/h),Median
2809,% change in brachial diameter,Mean
2810,Prism Diopter,Mean
2811,platelets/uL,Mean
2812,% of Patients,Number
2813,percent of work time missed,Mean
2814,meters,Mean
2815,quality units,Mean
2816,number of births,Mean
2817,Kilogram (kg)/meter (m)^2,Mean
2818,millimeter per hour (mm/h),Mean
2819,Trials 1-5 Free Recall Total,Mean
2820,adenomas,Mean
2821,Index,Mean
2822,Highest Response schedule completed,Mean
2823,mmol per Litre,Mean
2824,units on a scale (0-100),Median
2825,log copies/mL,Median
2826,unit on a scale,Mean
2827,ejection fraction percent,Mean
2828,Participants with Disorder Presently,Number
2829,Percent (%),Mean
2830,Lesion,Number
2831,Reactive hyperaemia index,Mean
2832,decibel (dB),Mean
2833,Kilogram per meter^2 (Kg/m^2),Mean
2834,average number of children in home,Mean
