Index,NCTId,Condition,Change,Reference,Variable,Timepoint,Endpoint Art
347,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Vasp),Not Mentioned,Not Mentioned,Evaluation Was Done Until Delivery (On Average Between 8-12 Hours),Primary Endpoint
348,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Not Mentioned,Not Mentioned,Not Mentioned,2 Hours After Birth,Primary Endpoint
349,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Evalution Labour Pain,Not Mentioned,Not Mentioned,Evaluation Was Done Until Delivery (On Average Between 8-12 Hours),Primary Endpoint
350,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Evalution Postpartum Comfort,Not Mentioned,Not Mentioned,2 Hours After Birth,Primary Endpoint
351,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
352,NCT04977687,"Machine Learning, Acute Kidney Injury, Renal Replacement Therapy, Prediction Models",Patients Required,Not Mentioned,Renal Replacement Therapy,14 Days,Primary Endpoint
353,NCT04977687,"Machine Learning, Acute Kidney Injury, Renal Replacement Therapy, Prediction Models",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
354,NCT04977661,Nonalcoholic Steatohepatitis (Nash),Nash,Not Mentioned,Not Mentioned,3 Months,Primary Endpoint
355,NCT04977661,Nonalcoholic Steatohepatitis (Nash),Not Mentioned,Not Mentioned,Normalization Of Hepatic Aminotransferases(Alt,3 Months,Secondary Endpoint
356,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Tumor Size,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
357,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Tumor Location,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
358,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,"Number, Lesions","Number, Lesions",Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
359,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Margin,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
360,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Tumor Texture,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
361,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Pancreatic Tail Contraction,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
362,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Complicated Pancreatitis,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
363,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Pancreatic Duct/Bile Duct Dilatation,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
364,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Extrapancreatic Tissue Invasion,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
365,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
366,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Not Mentioned,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
367,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Ct Value Of Pancreas Plain Scan,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
368,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,"Ct Value, Lesion Plain Scan",Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
369,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Ct Value Of Pancreas Artery Phase,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
370,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,"Ct Value, Lesion Artery Phase",Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
371,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,Ct Value Of Pancreas Portal Phase,Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
372,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Not Mentioned,Not Mentioned,"Lesion Portal Phase, Ct Value",Preoperative Contrast-Enhanced Ct Performed Within 2 Months Before Surgery Or Biopsy,Primary Endpoint
373,NCT04977596,"Neuroendocrine Tumor Of Pancreas, Carcinoma, Pancreatic, Ct",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
374,NCT04977557,Dry Beriberi,Onls) Score,Not Mentioned,Overall Neuropathy,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Primary Endpoint
375,NCT04977557,Dry Beriberi,Change,Not Mentioned,Not Mentioned,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
376,NCT04977557,Dry Beriberi,Change In,Muscle Power,Not Mentioned,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
377,NCT04977557,Dry Beriberi,Change In,Not Mentioned,Muscle Cramp,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
378,NCT04977557,Dry Beriberi,Change In Deep Tendon Reflexes,Not Mentioned,Not Mentioned,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
379,NCT04977557,Dry Beriberi,Change,Not Mentioned,Not Mentioned,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
380,NCT04977557,Dry Beriberi,Change In Pain Sensation,Not Mentioned,Not Mentioned,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
381,NCT04977557,Dry Beriberi,Change,Not Mentioned,Position Sensation,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
382,NCT04977557,Dry Beriberi,Change,Not Mentioned,Vibration Sensation,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
383,NCT04977557,Dry Beriberi,Change,Not Mentioned,Touch Sensation,"Before Treatment With Thiamine (Baseline ) And After 1 Week, 6Week, 12 Week Of Treatment",Secondary Endpoint
384,NCT04977518,Infective Endocarditis,Not Mentioned,Not Mentioned,"Complications (Neurological Events, Congestive Heart Failure)","During The Hospitalization, Average Of 1 Months",Primary Endpoint
385,NCT04977518,Infective Endocarditis,Mortality,Not Mentioned,Not Mentioned,"During The Hospitalization, Average Of 1 Months",Primary Endpoint
386,NCT04977518,Infective Endocarditis,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
387,NCT04977505,Shoulder Dislocation,Not Mentioned,Hounsfield Unit,Not Mentioned,2 Years After Surgery,Primary Endpoint
388,NCT04977505,Shoulder Dislocation,The Diameter,Not Mentioned,Not Mentioned,2 Years After Surgery,Primary Endpoint
389,NCT04977505,Shoulder Dislocation,Hounsfield Unit,Not Mentioned,Ossification Site,2 Years After Surgery,Primary Endpoint
390,NCT04977505,Shoulder Dislocation,Not Mentioned,Not Mentioned,Unossified Area,2 Years After Surgery,Secondary Endpoint
391,NCT04977505,Shoulder Dislocation,Ossification Quality Score,Not Mentioned,Not Mentioned,2 Years After Surgery,Secondary Endpoint
392,NCT04977440,Intensive Care Unit Syndrome,Glycemic Control,Effect,Not Mentioned,Up To 7 Days,Primary Endpoint
393,NCT04977440,Intensive Care Unit Syndrome,High Protein Intake,"Effect, Serum Electrolytes","Effect, Serum Electrolytes",Up To 7 Days,Primary Endpoint
394,NCT04977440,Intensive Care Unit Syndrome,Icu Outcome,Effect,Not Mentioned,Up To 7 Days,Secondary Endpoint
395,NCT04977219,Stroke,Not Mentioned,Not Mentioned,Not Mentioned,Up To 55 Days,Primary Endpoint
396,NCT04977219,Stroke,Not Mentioned,Not Mentioned,Not Mentioned,Up To 55 Days,Secondary Endpoint
397,NCT04977219,Stroke,Not Mentioned,Not Mentioned,Not Mentioned,Up To 55 Days,Secondary Endpoint
398,NCT04977219,Stroke,Not Mentioned,Not Mentioned,Discharge Destination,Up To 55 Days,Secondary Endpoint
399,NCT04977011,"Diabetic Ketoacidosis, Heart Disease, Ischemic, Stroke, Gastrointestinal Bleeding, Acute Kidney Injury, Heart Failure, Trauma, Septic Shock, Respiratory Failure, Pneumonia, Intracerebral Hemorrhage, Head Injury, Liver Diseases",Not Mentioned,Not Mentioned,Anxiety Visual,3Day,Primary Endpoint
400,NCT04977011,"Diabetic Ketoacidosis, Heart Disease, Ischemic, Stroke, Gastrointestinal Bleeding, Acute Kidney Injury, Heart Failure, Trauma, Septic Shock, Respiratory Failure, Pneumonia, Intracerebral Hemorrhage, Head Injury, Liver Diseases",Not Mentioned,Not Mentioned,Not Mentioned,3 Day,Secondary Endpoint
401,NCT04977011,"Diabetic Ketoacidosis, Heart Disease, Ischemic, Stroke, Gastrointestinal Bleeding, Acute Kidney Injury, Heart Failure, Trauma, Septic Shock, Respiratory Failure, Pneumonia, Intracerebral Hemorrhage, Head Injury, Liver Diseases",Richards-Campbell Sleep Scale,Not Mentioned,Not Mentioned,3 Day,Secondary Endpoint
402,NCT04976673,"Lichen Planus, Oral",Not Mentioned,"Oral Lichen Planus, Size","Oral Lichen Planus, Size",12 Weeks,Primary Endpoint
403,NCT04976673,"Lichen Planus, Oral",Not Mentioned,Not Mentioned,Rating,12 Weeks,Secondary Endpoint
404,NCT04976543,"Cirrhosis, Portal Vein Thrombosis, Esophageal Varices",Not Mentioned,Not Mentioned,Rebleeding,6-Week,Primary Endpoint
405,NCT04976543,"Cirrhosis, Portal Vein Thrombosis, Esophageal Varices",Not Mentioned,Not Mentioned,Death,6-Week,Secondary Endpoint
406,NCT04976504,"Desaturation Of Blood, Anesthesia",Not Mentioned,Not Mentioned,Additional Warning Time,"From Time Of Starting Preoxygenation Until The Time Of Spo2 90%, Assessed Up To 20 Minutes",Primary Endpoint
407,NCT04976504,"Desaturation Of Blood, Anesthesia",Between Ori,Correlation,Not Mentioned,"From Time Of Starting Preoxygenation Until The Time Of Spo2 90%, Assessed Up To 20 Minutes",Secondary Endpoint
408,NCT04976439,"Colorectal Cancer, Apc Gene Mutation, Tp53 Gene Mutation, Pik3Ca Gene Mutation, Kras Mutation-Related Tumors, Mlh1 Gene Mutation",Clinical Characteristics,Description,Not Mentioned,January 2017 - June 2021,Primary Endpoint
409,NCT04976439,"Colorectal Cancer, Apc Gene Mutation, Tp53 Gene Mutation, Pik3Ca Gene Mutation, Kras Mutation-Related Tumors, Mlh1 Gene Mutation",Not Mentioned,"Description, Tumor Nature","Description, Tumor Nature",January 2017 - June 2021,Primary Endpoint
410,NCT04976439,"Colorectal Cancer, Apc Gene Mutation, Tp53 Gene Mutation, Pik3Ca Gene Mutation, Kras Mutation-Related Tumors, Mlh1 Gene Mutation",Not Mentioned,"Description, Survival","Description, Survival",January 2017 - June 2021,Primary Endpoint
411,NCT04976439,"Colorectal Cancer, Apc Gene Mutation, Tp53 Gene Mutation, Pik3Ca Gene Mutation, Kras Mutation-Related Tumors, Mlh1 Gene Mutation",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
412,NCT04976361,Prp,Not Mentioned,Not Mentioned,Vessel Density,6 Months,Primary Endpoint
413,NCT04976361,Prp,Not Mentioned,Not Mentioned,Not Mentioned,6 Months,Primary Endpoint
414,NCT04976361,Prp,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
415,NCT04976114,Anxiety,Not Mentioned,Not Mentioned,Anxiety Level,"Presurgery, Just The Moment Before To Surgery",Primary Endpoint
416,NCT04976114,Anxiety,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
417,NCT04976088,"Trauma Injury, Inflammation",""" While","Treatment Start, Right Extreme Means ""Worst, Baseline, Left Extreme Means ""No Pain","Treatment Start, Right Extreme Means ""Worst, Baseline, Left Extreme Means ""No Pain",72 Hours,Primary Endpoint
418,NCT04976088,"Trauma Injury, Inflammation",Area Under,Curve (Auc),Not Mentioned,Day 4 And Day 8,Secondary Endpoint
419,NCT04976088,"Trauma Injury, Inflammation","Where ""No Pain",Baseline,Not Mentioned,"100"")",Secondary Endpoint
420,NCT04976088,"Trauma Injury, Inflammation","Where ""No Pain",Baseline,Not Mentioned,From Day 1 Until The Date Of Resolution Of Pain At Rest (Maximum Day 8),Secondary Endpoint
421,NCT04976088,"Trauma Injury, Inflammation","Where ""No Pain","Baseline, Treatment Start","Baseline, Treatment Start",Day 4 And Day 8,Secondary Endpoint
422,NCT04976088,"Trauma Injury, Inflammation",Movement),Not Mentioned,"Responder Patients (Defined, Treatment Start",Day 4,Secondary Endpoint
423,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,From Baseline To Day 8,Secondary Endpoint
424,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,"Baseline, Rescue Medication Consumed","Baseline, Rescue Medication Consumed",From Baseline To Day 8,Secondary Endpoint
425,NCT04976088,"Trauma Injury, Inflammation",Plaster Detached,Not Mentioned,Not Mentioned,"Day 1, Day 2, Day 3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
426,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,"Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
427,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,"Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
428,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,"Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
429,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,"Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
430,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Baseline,Not Mentioned,"Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
431,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,"Baseline, Adverse Events","Baseline, Adverse Events","Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8",Secondary Endpoint
432,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Not Mentioned,"Local Tolerability (Erythema), Investigator At Day, =Strong Reaction Spreading Beyond Test Site, =No Evidence","Day 1, Day 4 And Day 8",Secondary Endpoint
433,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Not Mentioned,"=Absent, Investigator At Day, =Severe, Local Tolerability (Itching)","Day 1, Day 4 And Day 8",Secondary Endpoint
434,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Not Mentioned,"Local Tolerability (Burning), Investigator At Day, =Severe, =Absent","Day 1, Day 4 And Day 8",Secondary Endpoint
435,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,Not Mentioned,"=Absent, Local Tolerability (Local Pain), Investigator At Day, =Severe","Day 1, Day 4 And Day 8",Secondary Endpoint
436,NCT04976088,"Trauma Injury, Inflammation",Not Mentioned,"=Poor, =Excellent;, Global Assessment, =Good;, =Fair;, Investigator And Patient, Following Score","=Poor, =Excellent;, Global Assessment, =Good;, =Fair;, Investigator And Patient, Following Score",Day 4 And Day 8,Secondary Endpoint
437,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Change In Pain Score,Mean,Not Mentioned,Assessed For 3 Months After Drug Insertion,Primary Endpoint
438,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Change,"Mean, Inflammation",Not Mentioned,Assessed For 3 Months After Drug Insertion,Primary Endpoint
439,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Not Mentioned,Chamber Inflammation,Not Mentioned,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
440,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Not Mentioned,Not Mentioned,Eyes Requiring Additional Post-Operative Therapy,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
441,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Number Of Patient Call-Backs,Not Mentioned,Not Mentioned,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
442,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Number Of Pharmacy,Not Mentioned,Not Mentioned,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
443,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Not Mentioned,Not Mentioned,Adverse Events,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
444,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Change In Iop,Mean,Not Mentioned,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
445,NCT04975971,"Anterior Chamber Inflammation, Ocular Pain, Corneal Edema, Corneal Defect, Penetrating Keratoplasty, Nuclear Cataract, Cortical Cataract, Cataract Senile",Change In Bcva,Not Mentioned,Not Mentioned,Assessed For 3 Months After Drug Insertion,Secondary Endpoint
446,NCT04975659,Communication,Pain Score,Not Mentioned,Not Mentioned,"Throughout Study Completion, Average Of 10 Months",Primary Endpoint
447,NCT04975659,Communication,Not Mentioned,"Baseline, Anxiety Score","Baseline, Anxiety Score","Through Study Completion, Average Of 10 Months",Primary Endpoint
448,NCT04975659,Communication,Education Level,Not Mentioned,Anxiety Score,"Through Study Completion, Average Of 10 Months",Secondary Endpoint
449,NCT04975659,Communication,Association Of Past History,Not Mentioned,Anxiety Score,"Through Study Completion, Average Of 10 Months",Secondary Endpoint
450,NCT04975542,Respiratory Function Impaired,Change In Chest Wall Excursion,Not Mentioned,Not Mentioned,Measure Assessing A Change From Baseline Chest Wall Excursion Within 5 Minutes Of Treatment Completion.,Primary Endpoint
451,NCT04975542,Respiratory Function Impaired,Change In,Not Mentioned,Not Mentioned,Measure Assessing A Change From Baseline Fvc Value Via Pulmonary Function Testing Within 5 Minutes Of Treatment Completion.,Primary Endpoint
452,NCT04975542,Respiratory Function Impaired,Change,Not Mentioned,Not Mentioned,1 Second (Fev1,Primary Endpoint
453,NCT04975542,Respiratory Function Impaired,Change,Not Mentioned,Fev1,Measure Assessing A Change From Baseline Fev1/Fvc Ratio Value Via Pulmonary Function Testing Within 5 Minutes Of Treatment Completion.,Primary Endpoint
454,NCT04975542,Respiratory Function Impaired,Change In,Not Mentioned,Not Mentioned,Measure Assessing A Change From Baseline Respiratory Rate Within 5 Minutes Of Treatment Completion.,Secondary Endpoint
455,NCT04975542,Respiratory Function Impaired,Change In Heart Rate,Not Mentioned,Not Mentioned,Measure Assessing A Change From Baseline Heart Rate Within 5 Minutes Of Treatment Completion.,Secondary Endpoint
456,NCT04975542,Respiratory Function Impaired,Not Mentioned,Not Mentioned,Not Mentioned,Measure Assessing A Change From Baseline Oxygen Saturation Within 5 Minutes Of Treatment Completion.,Secondary Endpoint
457,NCT04975529,"Exercise, Diet",Change,"Mean, Baseline, Self-Reported Physical Activity","Mean, Baseline, Self-Reported Physical Activity",6-Months,Primary Endpoint
458,NCT04975529,"Exercise, Diet",Change,"Mean, Validated Physical, Baseline, Self-Reported Self-Efficacy For Physical Activity","Mean, Validated Physical, Baseline, Self-Reported Self-Efficacy For Physical Activity",6-Months,Secondary Endpoint
459,NCT04975529,"Exercise, Diet",Change,"Mean, Baseline, Self-Reported Dietary Intake","Mean, Baseline, Self-Reported Dietary Intake",6-Months,Secondary Endpoint
460,NCT04975529,"Exercise, Diet",Change,"Self-Confidence, Mean, Baseline, Positive Youth Development (Pyd) Short","Self-Confidence, Mean, Baseline, Positive Youth Development (Pyd) Short",6-Months,Secondary Endpoint
461,NCT04975412,Acne Vulgaris,Not Mentioned,Not Mentioned,Acne Severity,Initial Consult,Primary Endpoint
462,NCT04975412,Acne Vulgaris,Whole Blood,Not Mentioned,Not Mentioned,Initial Consult,Primary Endpoint
463,NCT04975412,Acne Vulgaris,Not Mentioned,Not Mentioned,Demographics,Initial Consult,Secondary Endpoint
464,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Not Mentioned,Not Mentioned,Not Mentioned,At 07:00 Hours After Caffeine And Placebo Administration,Primary Endpoint
465,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Not Mentioned,Not Mentioned,Recording Of Nocturnal Sleep,Between 03:00-07:00 Hours After Caffeine And Placebo Administration,Secondary Endpoint
466,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Caffeine Effects,Not Mentioned,Not Mentioned,Between 07:15-08:00 Hours After Caffeine And Placebo Administration,Secondary Endpoint
467,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Not Mentioned,Not Mentioned,Not Mentioned,Between 07:00-08:15 Hours After Caffeine And Placebo Administration,Secondary Endpoint
468,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Not Mentioned,Not Mentioned,Not Mentioned,Between 07:15-07:30 Hours After Caffeine And Placebo Administration,Secondary Endpoint
469,NCT04975360,"Sleep Inertia, Caffeine, Placebo",N-Back Task,Not Mentioned,Not Mentioned,Between 07:30-07:40 Hours After Caffeine And Placebo Administration,Secondary Endpoint
470,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Not Mentioned,Not Mentioned,Cortisol Awakening Response,Between 07:00-08:00 Hours After Caffeine And Placebo Administration,Secondary Endpoint
471,NCT04975360,"Sleep Inertia, Caffeine, Placebo",Opportunity,Not Mentioned,Recording Of,Between 08:00-09:00 Hours After Caffeine And Placebo Administration,Secondary Endpoint
472,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Fitting,24 Months,Primary Endpoint
473,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Not Mentioned,24 Months,Primary Endpoint
474,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Proximal Contact,24 Months,Primary Endpoint
475,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Marginal Adaptation,24 Months,Primary Endpoint
476,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Staining/Color Change,24 Months,Primary Endpoint
477,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Gingival Status,24 Months,Primary Endpoint
478,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Crown,Not Mentioned,Not Mentioned,24 Months,Primary Endpoint
479,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Veneer/Composite,Not Mentioned,24 Months,Primary Endpoint
480,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Secondary Caries,Not Mentioned,Not Mentioned,24 Months,Primary Endpoint
481,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Trauma,Not Mentioned,Not Mentioned,24 Months,Primary Endpoint
482,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Clinical Pulp Pathology,24 Months,Primary Endpoint
483,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Radiographical Pulp Pathology,24 Months,Primary Endpoint
484,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Not Mentioned,Not Mentioned,Esthetic Satisfaction,24 Months,Primary Endpoint
485,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
486,NCT04975282,"Preterm, Feeding, Bottle, Feeding Behavior, Feeding, Breast",Not Mentioned,Not Mentioned,Not Mentioned,"From Transition To Breastfeeding, Up To 1 Week.",Primary Endpoint
487,NCT04975282,"Preterm, Feeding, Bottle, Feeding Behavior, Feeding, Breast",Not Mentioned,Not Mentioned,Not Mentioned,"From Admission To Discharge, Up To 4 Weeks",Primary Endpoint
488,NCT04975282,"Preterm, Feeding, Bottle, Feeding Behavior, Feeding, Breast",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
489,NCT04975126,Cataract,Decisional Conflict,Not Mentioned,Scale Score,Day Of Pre-Assessment Visit (1 Week Before Surgery),Primary Endpoint
490,NCT04975126,Cataract,Not Mentioned,Not Mentioned,Decision Regret Scale Score,1 Month After Surgery,Primary Endpoint
491,NCT04975126,Cataract,Number Of Correctly,Not Mentioned,Not Mentioned,Day Of Pre-Assessment Visit (1 Week Before Surgery),Primary Endpoint
492,NCT04975126,Cataract,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
493,NCT04975113,"Patellofemoral Pain Syndrome, Kinesiotape, Exercise, Strength",Weeks,Not Mentioned,Not Mentioned,"Before And After Treatment (12 Sessions, 6Th. And 12Th. Weeks)]",Primary Endpoint
494,NCT04975113,"Patellofemoral Pain Syndrome, Kinesiotape, Exercise, Strength",Weeks,Not Mentioned,Quadriceps Femoris Muscles,"Before And After Treatment (12 Sessions, 6Th. And 12Th. Weeks)]",Primary Endpoint
